ID,Age,Gender,Mouse Use,Touchpad Use,Condition,Hits,Misses,AttDiff1,AttDiff2,AttDiff3,AttDiff4,AttDiff5,AttDiff6,AttDiff7,AttDiff8,Umux1,Umux2,NASA1,NASA2,NASA3,NASA4,NASA5,NASA6,Ownership,Agency1,Agency2,Agency3,Estimate(s),BaseAgency
1,23.0,female,0.0,1.0,pad,77,5,7,6.0,7.0,6,4,4,4,2,6,7,5,1,4,14,9,1.0,5,6,4,5,150,1
1,23.0,female,0.0,1.0,arm,74,7,5,5.0,6.0,5,7,7,7,7,5,5,7,1,5,14,12,2.0,7,6,5,6,130,2
1,23.0,female,0.0,1.0,button,81,0,7,7.0,7.0,7,3,2,1,1,5,7,2,1,1,21,6,1.0,3,7,7,5,180,0
2,22.0,male,1.0,0.0,arm,79,1,7,7.0,7.0,7,6,6,5,6,6,7,4,1,2,20,4,3.0,6,6,6,6,380,2
2,22.0,male,1.0,0.0,pad,78,2,6,6.0,6.0,6,6,6,4,4,5,6,4,2,3,21,3,2.0,3,5,3,4,480,1
2,22.0,male,1.0,0.0,button,81,0,6,6.0,7.0,7,6,3,2,2,4,6,4,2,5,20,4,2.0,2,2,2,2,510,0
3,24.0,female,0.0,1.0,button,78,5,7,7.0,7.0,7,4,4,4,5,6,7,3,3,5,5,3,3.0,4,5,6,5,180,0
3,24.0,female,0.0,1.0,pad,76,6,5,5.0,5.0,4,4,4,4,4,5,5,2,2,3,19,11,3.0,3,4,5,4,250,1
3,24.0,female,0.0,1.0,arm,78,5,7,7.0,7.0,6,7,6,6,7,7,6,1,3,1,21,9,3.0,7,6,7,7,180,2
4,26.0,female,1.0,1.0,button,81,0,7,7.0,7.0,4,5,4,4,4,4,7,9,6,11,21,11,1.0,4,6,6,5,250,0
4,26.0,female,1.0,1.0,pad,67,8,7,7.0,7.0,5,5,4,4,4,4,4,3,3,11,15,12,3.0,2,5,5,5,230,1
4,26.0,female,1.0,1.0,arm,77,2,7,7.0,7.0,6,4,4,4,4,6,7,11,2,5,19,5,2.0,5,6,6,5,240,2
5,31.0,female,0.0,0.0,button,75,7,6,2.0,7.0,7,1,1,4,1,7,7,3,3,3,18,4,12.0,6,4,7,4,360,0
5,31.0,female,0.0,0.0,arm,67,7,4,2.0,7.0,1,1,4,4,1,7,7,3,3,3,18,3,11.0,4,4,4,4,400,2
5,31.0,female,0.0,0.0,pad,70,4,4,2.0,6.0,6,2,2,4,2,6,6,12,11,11,19,12,4.0,6,4,4,4,400,1
6,32.0,female,0.0,1.0,arm,61,17,7,7.0,7.0,6,7,3,5,7,7,7,4,2,6,9,13,4.0,7,6,7,7,10,2
6,32.0,female,0.0,1.0,pad,69,10,7,7.0,7.0,7,3,4,6,1,7,7,5,3,5,13,11,4.0,1,6,6,7,5,1
6,32.0,female,0.0,1.0,button,74,5,7,3.0,7.0,7,1,1,1,1,5,7,5,5,3,8,8,3.0,1,6,6,5,5,0
7,25.0,male,1.0,0.0,pad,71,8,7,7.0,7.0,7,2,2,2,2,3,7,1,1,2,19,1,1.0,1,1,1,6,120,1
7,25.0,male,1.0,0.0,arm,75,6,7,7.0,7.0,7,2,2,1,2,2,7,1,1,1,20,2,1.0,2,1,1,4,160,2
7,25.0,male,1.0,0.0,button,80,1,7,7.0,7.0,7,2,2,2,2,7,7,1,1,1,21,1,1.0,1,1,1,1,180,0
8,24.0,male,0.0,1.0,arm,64,10,7,7.0,6.0,6,5,5,4,5,6,5,7,3,5,14,11,5.0,3,5,5,5,600,2
8,24.0,male,0.0,1.0,button,77,3,7,5.0,7.0,5,3,6,4,7,6,3,9,5,12,14,8,14.0,5,3,6,5,350,0
8,24.0,male,0.0,1.0,pad,73,5,7,6.0,4.0,5,4,2,5,3,5,2,5,3,16,11,13,9.0,2,4,3,6,250,1
9,24.0,female,1.0,0.0,button,72,8,7,7.0,7.0,7,6,6,5,5,7,7,3,1,5,18,8,1.0,5,7,7,6,300,0
9,24.0,female,1.0,0.0,pad,74,9,7,7.0,7.0,7,6,5,5,5,7,7,2,3,2,17,7,2.0,4,6,5,5,300,1
9,24.0,female,1.0,0.0,arm,80,3,7,7.0,7.0,7,6,6,3,7,7,7,2,2,2,19,3,2.0,7,6,7,6,300,2
10,36.0,male,1.0,0.0,button,75,9,7,7.0,7.0,7,4,1,1,1,4,7,1,1,11,16,5,1.0,1,5,5,3,60,0
10,36.0,male,1.0,0.0,arm,79,3,7,7.0,7.0,7,7,7,4,7,7,7,1,4,1,19,1,1.0,6,6,6,3,180,2
10,36.0,male,1.0,0.0,pad,77,3,7,7.0,7.0,7,7,7,7,4,6,6,1,3,1,20,3,1.0,2,6,6,2,180,1
11,31.0,female,0.0,0.0,pad,68,13,7,7.0,7.0,5,5,2,2,1,6,7,1,1,3,8,7,1.0,2,7,6,6,120,1
11,31.0,female,0.0,0.0,button,73,7,7,7.0,7.0,6,3,3,1,1,6,7,2,2,3,11,3,1.0,1,7,7,6,140,0
11,31.0,female,0.0,0.0,arm,75,4,7,6.0,7.0,5,3,5,3,6,6,6,13,3,7,15,6,1.0,5,7,6,6,120,2
12,34.0,male,1.0,0.0,arm,80,3,7,5.0,7.0,7,5,3,4,7,6,7,3,3,9,18,4,3.0,6,7,6,5,90,2
12,34.0,male,1.0,0.0,pad,80,3,6,7.0,7.0,6,5,5,5,5,5,6,4,4,7,19,3,5.0,1,4,6,6,80,1
12,34.0,male,1.0,0.0,button,82,1,7,7.0,7.0,7,6,6,5,4,7,7,4,4,6,20,4,1.0,1,7,7,7,80,0
13,24.0,female,0.0,1.0,pad,77,5,5,5.0,7.0,7,6,4,4,4,5,7,3,3,5,19,2,1.0,6,5,5,5,150,1
13,24.0,female,0.0,1.0,arm,74,6,3,6.0,6.0,7,5,5,4,7,6,7,7,3,4,16,7,1.0,7,6,6,7,250,2
13,24.0,female,0.0,1.0,button,80,1,7,7.0,7.0,7,6,6,3,3,5,7,1,2,2,21,1,1.0,2,7,7,7,230,0
14,24.0,female,0.0,1.0,arm,75,6,6,5.0,7.0,5,6,4,4,6,6,7,2,4,6,17,9,1.0,4,6,6,5,180,2
14,24.0,female,0.0,1.0,button,80,0,7,7.0,7.0,7,4,4,3,3,6,7,1,2,3,21,4,2.0,2,7,7,7,180,0
14,24.0,female,0.0,1.0,pad,78,1,7,6.0,7.0,6,5,5,5,4,7,7,2,2,4,20,5,3.0,2,6,6,7,180,1
15,27.0,male,1.0,0.0,button,80,3,7,7.0,7.0,7,4,4,4,4,7,7,6,6,3,19,2,3.0,5,5,6,6,260,0
15,27.0,male,1.0,0.0,pad,70,8,5,4.0,6.0,5,5,4,4,4,5,5,3,3,4,17,4,3.0,3,2,3,4,240,1
15,27.0,male,1.0,0.0,arm,77,4,7,6.0,5.0,7,7,7,4,5,7,6,2,2,2,19,2,1.0,7,7,7,7,300,2
16,24.0,female,1.0,0.0,button,84,2,7,7.0,7.0,7,4,4,4,4,5,7,2,1,2,20,2,2.0,3,4,7,7,250,0
16,24.0,female,1.0,0.0,arm,75,9,4,2.0,6.0,3,7,4,6,6,4,4,5,5,1,17,16,6.0,5,5,3,5,200,2
16,24.0,female,1.0,0.0,pad,83,0,7,5.0,7.0,7,2,2,5,3,7,7,1,1,1,21,1,1.0,3,5,6,6,180,1
17,33.0,male,1.0,1.0,pad,73,5,7,5.0,7.0,5,2,4,6,2,6,5,5,2,9,16,5,5.0,4,6,6,5,180,1
17,33.0,male,1.0,1.0,button,82,0,7,7.0,7.0,7,2,4,4,2,7,7,4,3,7,21,5,2.0,2,7,7,7,160,0
17,33.0,male,1.0,1.0,arm,80,2,7,6.0,7.0,6,6,6,7,7,6,6,4,3,5,20,10,4.0,5,5,5,6,160,2
18,23.0,male,1.0,1.0,arm,72,8,6,5.0,7.0,6,6,6,5,7,6,7,5,1,10,20,1,7.0,4,4,5,4,90,2
18,23.0,male,1.0,1.0,pad,78,3,7,3.0,6.0,6,4,3,5,3,5,7,3,1,4,4,2,5.0,2,4,3,4,90,1
18,23.0,male,1.0,1.0,button,81,0,7,7.0,7.0,7,7,5,4,3,7,7,3,1,3,21,1,1.0,2,7,6,4,85,0
19,26.0,male,1.0,0.0,pad,81,1,7,7.0,7.0,7,4,5,5,4,7,7,2,2,4,20,1,4.0,3,7,5,5,200,1
19,26.0,male,1.0,0.0,arm,79,2,7,5.0,7.0,5,6,6,5,7,5,7,3,3,5,17,8,7.0,7,5,5,5,250,2
19,26.0,male,1.0,0.0,button,82,0,7,7.0,7.0,7,5,5,4,4,7,7,1,1,1,21,1,1.0,2,4,5,5,220,0
20,27.0,female,0.0,1.0,arm,73,8,7,7.0,7.0,7,7,7,6,7,7,7,4,2,6,18,6,7.0,6,7,7,7,480,2
20,27.0,female,0.0,1.0,button,79,2,7,7.0,7.0,7,4,4,4,1,7,7,1,1,2,2,2,1.0,2,7,7,7,400,0
20,27.0,female,0.0,1.0,pad,71,9,5,2.0,7.0,4,3,3,3,2,2,2,4,7,4,3,6,6.0,2,6,5,5,300,1
21,29.0,male,1.0,0.0,button,77,8,6,7.0,7.0,7,6,2,3,2,6,7,3,1,13,19,3,2.0,3,7,7,7,180,0
21,29.0,male,1.0,0.0,pad,74,8,6,4.0,6.0,6,3,5,5,2,5,6,3,1,5,17,2,6.0,2,4,5,6,180,1
21,29.0,male,1.0,0.0,arm,80,4,6,5.0,6.0,6,6,5,5,6,6,6,3,2,2,20,2,1.0,7,7,7,7,180,2
22,30.0,female,1.0,0.0,button,79,4,7,7.0,7.0,7,2,4,1,1,2,7,1,8,1,19,6,17.0,1,3,7,7,250,0
22,30.0,female,1.0,0.0,arm,78,3,7,7.0,6.0,6,6,7,7,7,7,7,17,2,2,18,8,3.0,7,6,6,6,200,2
22,30.0,female,1.0,0.0,pad,80,2,7,7.0,7.0,7,2,4,4,2,6,7,4,4,3,18,2,2.0,1,7,7,6,200,1
23,27.0,female,0.0,0.0,pad,61,18,7,7.0,7.0,6,7,6,5,5,7,7,4,1,5,18,3,3.0,1,4,5,5,300,1
23,27.0,female,0.0,0.0,button,67,13,7,7.0,7.0,7,7,4,4,4,7,7,3,1,1,19,3,2.0,1,6,5,6,300,0
23,27.0,female,0.0,0.0,arm,66,17,7,6.0,6.0,7,7,7,6,7,6,7,2,1,1,19,3,1.0,6,5,5,7,300,2
24,30.0,male,1.0,0.0,arm,74,7,6,3.0,6.0,5,3,3,3,2,3,6,6,3,16,13,14,4.0,2,5,5,6,300,2
24,30.0,male,1.0,0.0,pad,71,8,6,4.0,5.0,3,3,5,6,4,5,6,7,10,16,15,17,7.0,2,3,3,3,270,1
24,30.0,male,1.0,0.0,button,76,5,6,5.0,6.0,5,4,3,3,3,6,5,13,15,15,17,15,7.0,3,5,5,5,270,0
25,20.0,female,0.0,1.0,pad,74,5,7,5.0,7.0,6,4,4,4,3,7,7,2,3,9,17,6,13.0,2,5,6,6,180,1
25,20.0,female,0.0,1.0,arm,73,7,6,3.0,6.0,3,6,4,4,6,3,6,3,3,10,14,16,15.0,6,5,4,6,170,2
25,20.0,female,0.0,1.0,button,81,0,7,7.0,7.0,7,4,4,5,4,7,7,2,2,15,21,7,11.0,5,7,7,7,180,0
26,20.0,male,0.0,1.0,arm,79,2,5,3.0,6.0,4,4,5,4,6,5,6,5,4,3,19,4,1.0,3,5,3,5,300,2
26,20.0,male,0.0,1.0,button,81,0,7,6.0,7.0,7,3,3,3,3,6,7,2,2,3,20,2,1.0,2,4,6,6,300,0
26,20.0,male,0.0,1.0,pad,81,0,6,6.0,6.0,6,4,4,4,4,6,6,3,3,2,20,2,1.0,4,5,5,6,300,1
27,22.0,male,1.0,1.0,button,74,6,6,7.0,7.0,7,5,5,3,4,4,6,17,5,15,14,14,6.0,4,6,5,5,400,0
27,22.0,male,1.0,1.0,pad,72,6,5,6.0,6.0,6,3,4,5,5,6,6,15,8,18,15,10,3.0,2,4,3,5,200,1
27,22.0,male,1.0,1.0,arm,84,8,6,4.0,5.0,5,6,6,5,6,6,6,16,8,15,15,14,7.0,6,5,5,6,180,2
28,28.0,male,0.0,1.0,button,81,1,7,7.0,7.0,6,4,4,4,3,6,6,4,4,5,18,16,7.0,2,6,6,6,180,0
28,28.0,male,0.0,1.0,arm,81,2,6,4.0,6.0,6,6,6,6,6,5,6,7,10,7,18,6,6.0,7,7,6,6,180,2
28,28.0,male,0.0,1.0,pad,79,4,5,5.0,6.0,6,2,3,3,3,5,5,6,6,6,17,6,9.0,2,3,5,5,180,1
29,34.0,male,1.0,1.0,pad,61,23,3,2.0,5.0,4,3,3,2,3,3,4,5,4,12,9,10,11.0,2,5,4,3,180,1
29,34.0,male,1.0,1.0,button,81,1,7,7.0,7.0,7,6,5,4,5,7,7,4,5,6,19,17,9.0,6,6,6,5,180,0
29,34.0,male,1.0,1.0,arm,78,3,6,4.0,5.0,6,6,5,4,6,5,5,12,5,12,14,12,8.0,7,5,5,6,180,2
30,35.0,female,1.0,1.0,arm,71,14,6,5.0,5.0,5,5,4,5,7,5,5,14,9,11,13,13,7.0,7,5,5,6,110,2
30,35.0,female,1.0,1.0,pad,79,4,7,6.0,7.0,7,3,4,4,2,6,7,5,4,5,19,5,12.0,1,5,6,7,90,1
30,35.0,female,1.0,1.0,button,81,3,7,6.0,7.0,7,2,3,3,3,7,7,2,3,3,15,3,7.0,3,7,6,7,81,0
31,28.0,male,1.0,1.0,pad,81,0,6,6.0,6.0,6,3,4,4,4,7,7,3,1,9,19,4,6.0,3,3,6,7,240,1
31,28.0,male,1.0,1.0,arm,76,6,5,5.0,4.0,5,6,6,4,6,5,5,5,5,6,13,9,8.0,6,4,5,5,240,2
31,28.0,male,1.0,1.0,button,81,3,7,7.0,7.0,7,3,6,4,4,7,6,4,9,4,9,15,3.0,4,7,6,7,240,0
32,22.0,female,0.0,1.0,arm,69,9,7,5.0,4.0,5,5,5,5,6,6,6,18,14,12,14,14,14.0,5,6,5,5,100,2
32,22.0,female,0.0,1.0,button,79,2,7,7.0,6.0,6,6,6,5,6,6,7,14,14,10,15,13,12.0,7,7,6,7,90,0
32,22.0,female,0.0,1.0,pad,75,4,5,5.0,4.0,3,3,4,4,5,6,5,9,14,7,19,9,11.0,4,5,5,5,110,1
33,21.0,male,0.0,1.0,button,81,2,7,7.0,7.0,7,2,4,4,3,7,7,4,1,6,20,3,2.0,5,6,7,7,100,0
33,21.0,male,0.0,1.0,pad,81,2,6,6.0,6.0,5,2,4,4,5,7,7,3,7,3,20,3,4.0,6,7,6,7,100,1
33,21.0,male,0.0,1.0,arm,81,4,5,4.0,6.0,5,4,6,5,6,5,5,2,2,3,18,5,2.0,7,4,5,7,100,2
34,21.0,female,0.0,1.0,button,82,1,7,7.0,7.0,7,1,3,3,1,1,7,1,1,1,20,2,1.0,1,5,6,6,150,0
34,21.0,female,0.0,1.0,arm,80,0,7,5.0,6.0,6,5,5,5,7,5,7,1,1,1,21,1,1.0,7,7,7,7,150,2
34,21.0,female,0.0,1.0,pad,74,5,7,5.0,7.0,4,3,5,5,1,4,7,6,1,3,15,3,7.0,1,3,5,3,200,1
35,22.0,male,0.0,1.0,pad,72,7,7,5.0,7.0,7,2,4,5,2,6,6,4,1,15,17,7,13.0,2,2,4,4,90,1
35,22.0,male,0.0,1.0,button,80,1,7,7.0,7.0,7,5,4,2,4,7,7,3,1,7,20,6,1.0,3,6,5,6,90,0
35,22.0,male,0.0,1.0,arm,70,8,5,4.0,4.0,3,7,7,6,7,5,3,9,11,15,10,15,12.0,7,5,4,6,90,2
36,32.0,male,1.0,1.0,arm,58,20,4,3.0,6.0,3,4,4,4,7,3,3,3,7,6,2,11,15.0,5,4,3,5,100,2
36,32.0,male,1.0,1.0,pad,75,4,6,6.0,6.0,6,3,4,4,2,6,6,2,5,3,11,11,9.0,1,6,5,6,80,1
36,32.0,male,1.0,1.0,button,81,1,6,7.0,7.0,7,5,4,4,4,6,6,2,5,2,18,11,4.0,1,7,6,5,80,0
37,25.0,female,0.0,1.0,pad,65,20,7,6.0,7.0,6,4,3,4,1,5,7,2,2,2,10,7,14.0,1,3,2,4,200,1
37,25.0,female,0.0,1.0,arm,78,2,7,7.0,7.0,7,7,7,7,7,7,7,2,2,2,21,2,2.0,7,7,7,7,200,2
37,25.0,female,0.0,1.0,button,76,5,7,6.0,7.0,7,4,3,3,3,7,7,2,2,2,17,2,2.0,2,5,5,6,200,0
38,22.0,female,0.0,1.0,arm,77,6,6,5.0,6.0,4,6,4,6,6,6,7,6,4,9,6,5,2.0,6,6,5,5,120,2
38,22.0,female,0.0,1.0,button,79,2,6,6.0,6.0,6,4,3,4,3,4,6,7,3,5,9,4,2.0,2,4,4,5,130,0
38,22.0,female,0.0,1.0,pad,77,5,6,6.0,6.0,6,3,4,4,3,6,6,4,2,4,6,6,4.0,3,5,4,5,160,1
39,33.0,female,0.0,1.0,button,72,8,7,7.0,7.0,5,1,1,1,1,7,7,4,1,8,21,1,5.0,1,7,7,7,360,0
39,33.0,female,0.0,1.0,pad,78,4,7,7.0,7.0,7,1,4,5,1,7,7,1,1,1,21,1,2.0,1,7,7,3,360,1
39,33.0,female,0.0,1.0,arm,79,3,7,7.0,7.0,7,7,2,2,7,7,7,1,1,1,21,1,1.0,7,7,7,7,420,2
40,25.0,female,0.0,1.0,button,69,15,7,7.0,7.0,7,4,2,2,3,6,7,1,6,11,19,3,7.0,2,5,5,2,80,0
40,25.0,female,0.0,1.0,arm,74,8,7,7.0,7.0,7,7,7,7,7,7,7,1,1,1,19,3,3.0,7,7,6,7,83,2
40,25.0,female,0.0,1.0,pad,77,5,7,7.0,7.0,7,1,4,4,1,7,7,1,1,1,20,1,5.0,2,5,5,3,76,1
41,35.0,male,1.0,1.0,pad,57,20,6,6.0,7.0,6,4,4,5,3,6,6,8,7,12,13,7,17.0,6,6,5,4,90,1
41,35.0,male,1.0,1.0,button,77,3,6,6.0,7.0,6,4,4,5,2,6,6,5,11,10,20,7,11.0,6,6,6,7,90,0
41,35.0,male,1.0,1.0,arm,66,14,6,6.0,5.0,5,5,6,4,3,4,5,11,10,15,13,12,15.0,6,5,6,5,90,2
42,37.0,male,0.0,0.0,arm,79,3,4,3.0,6.0,6,2,1,2,5,4,5,5,5,2,18,12,5.0,2,6,5,7,60,2
42,37.0,male,0.0,0.0,pad,64,6,2,2.0,2.0,2,4,5,6,4,1,1,14,1,4,12,14,3.0,2,1,6,1,120,1
42,37.0,male,0.0,0.0,button,81,0,7,6.0,7.0,7,2,3,4,1,7,7,1,3,5,21,10,3.0,4,7,6,7,60,0
